loss,hyperparameters,iteration,runtime
-0.5499233337587153,"{'alpha': 67.4315909075567, 'fit_intercept': False, 'l1_ratio': 0.525160021914779, 'loss': 'log', 'penalty': 'none', 'random_state': 0}",1,0.6084789470769465
-0.5377596358829682,"{'alpha': 99.39138954683158, 'fit_intercept': False, 'l1_ratio': 0.7429692122770326, 'loss': 'log', 'penalty': 'none', 'random_state': 0}",2,0.7179626650176942
-0.7763494254483527,"{'alpha': 52.662468431333735, 'fit_intercept': False, 'l1_ratio': 0.6581376332773589, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",3,0.6617867113091052
-0.7763579639137974,"{'alpha': 50.108382554147056, 'fit_intercept': True, 'l1_ratio': 0.7894805871735081, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",4,0.7781776757910848
-0.5,"{'alpha': 80.44035209745296, 'fit_intercept': False, 'l1_ratio': 0.257838184845148, 'loss': 'log', 'penalty': 'l1', 'random_state': 0}",5,1.184401114936918
-0.5666898627812194,"{'alpha': 44.88707777293456, 'fit_intercept': True, 'l1_ratio': 0.9541039401476515, 'loss': 'log', 'penalty': 'none', 'random_state': 0}",6,0.6009728703647852
-0.5,"{'alpha': 11.47969870934498, 'fit_intercept': True, 'l1_ratio': 0.9232992433775365, 'loss': 'log', 'penalty': 'elasticnet', 'random_state': 0}",7,0.9530392959713936
-0.5527528382273115,"{'alpha': 62.5492680544627, 'fit_intercept': False, 'l1_ratio': 0.9183044463574762, 'loss': 'log', 'penalty': 'none', 'random_state': 0}",8,0.6515980521216989
-0.7762078863169302,"{'alpha': 94.70811098481369, 'fit_intercept': True, 'l1_ratio': 0.9642758114231715, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",9,0.6128566940315068
-0.5,"{'alpha': 30.262254957320202, 'fit_intercept': False, 'l1_ratio': 0.8214707235994475, 'loss': 'log', 'penalty': 'elasticnet', 'random_state': 0}",10,1.1738628940656781
-0.5,"{'alpha': 0.8308168168251415, 'fit_intercept': False, 'l1_ratio': 0.8163216293443023, 'loss': 'log', 'penalty': 'l1', 'random_state': 0}",11,1.5552250873297453
-0.5444406614628199,"{'alpha': 79.13745143417488, 'fit_intercept': False, 'l1_ratio': 0.4384850298398535, 'loss': 'log', 'penalty': 'none', 'random_state': 0}",12,0.878710777964443
-0.5,"{'alpha': 31.752542109925812, 'fit_intercept': True, 'l1_ratio': 0.08007153673098188, 'loss': 'log', 'penalty': 'l1', 'random_state': 0}",13,1.049610324203968
-0.5,"{'alpha': 39.28188285648173, 'fit_intercept': False, 'l1_ratio': 0.8338470561885002, 'loss': 'log', 'penalty': 'elasticnet', 'random_state': 0}",14,0.9009987800382078
-0.5,"{'alpha': 54.60825343177526, 'fit_intercept': True, 'l1_ratio': 0.6372728677240866, 'loss': 'log', 'penalty': 'l1', 'random_state': 0}",15,0.9619879839010537
-0.5,"{'alpha': 95.278677602448, 'fit_intercept': False, 'l1_ratio': 0.5561497846653429, 'loss': 'log', 'penalty': 'elasticnet', 'random_state': 0}",16,0.9259384647011757
-0.5,"{'alpha': 49.66895529817713, 'fit_intercept': False, 'l1_ratio': 0.19024535188921077, 'loss': 'log', 'penalty': 'l1', 'random_state': 0}",17,0.8988888650201261
-0.5,"{'alpha': 97.76274071720937, 'fit_intercept': True, 'l1_ratio': 0.19093562579481915, 'loss': 'log', 'penalty': 'l1', 'random_state': 0}",18,0.93635179894045
-0.6102968373305486,"{'alpha': 21.592577449522363, 'fit_intercept': True, 'l1_ratio': 0.3256142851299818, 'loss': 'log', 'penalty': 'none', 'random_state': 0}",19,0.6072871219366789
-0.5,"{'alpha': 65.61244596964418, 'fit_intercept': False, 'l1_ratio': 0.47767523197566486, 'loss': 'log', 'penalty': 'elasticnet', 'random_state': 0}",20,0.981897761579603
-0.776317565272203,"{'alpha': 57.701110409338156, 'fit_intercept': True, 'l1_ratio': 0.6507902704160278, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",21,0.5792424390092492
-0.776247079919946,"{'alpha': 77.26793415251066, 'fit_intercept': True, 'l1_ratio': 0.728570123325488, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",22,0.6835913490504026
-0.776445522357388,"{'alpha': 39.30698496717561, 'fit_intercept': True, 'l1_ratio': 0.6390225177557223, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",23,0.684873613063246
-0.7767464665977362,"{'alpha': 22.208126359843277, 'fit_intercept': True, 'l1_ratio': 0.400306028819637, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",24,0.7173962551169097
-0.7774270122817575,"{'alpha': 10.952665582976985, 'fit_intercept': True, 'l1_ratio': 0.3981448524485811, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",25,0.6329752169549465
-0.7860472849578741,"{'alpha': 0.8353614852361098, 'fit_intercept': True, 'l1_ratio': 0.395628905050154, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",26,0.5490654669702053
-0.7833277779515496,"{'alpha': 1.4518393640398681, 'fit_intercept': True, 'l1_ratio': 0.36469018569418593, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",27,0.7960085961967707
-0.7869858335840095,"{'alpha': 0.6960694148884912, 'fit_intercept': True, 'l1_ratio': 0.024139980538616157, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",28,0.6141861639916897
-0.7773302709804109,"{'alpha': 11.815880748535202, 'fit_intercept': True, 'l1_ratio': 0.023266428642603643, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",29,0.5468462882563472
-0.7789365403026463,"{'alpha': 4.846053299772731, 'fit_intercept': True, 'l1_ratio': 0.0883669759569147, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",30,0.6587118930183351
-0.7768907417239947,"{'alpha': 18.296150938683468, 'fit_intercept': True, 'l1_ratio': 0.540258794313488, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",31,0.7479424653574824
-0.7783259297884932,"{'alpha': 6.349342568435046, 'fit_intercept': True, 'l1_ratio': 0.15770041184942976, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",32,0.9203979731537402
-0.7766108125886648,"{'alpha': 27.780901441519852, 'fit_intercept': True, 'l1_ratio': 0.0027443527765608385, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",33,0.683518452104181
-0.7769298479154586,"{'alpha': 17.474958211289966, 'fit_intercept': True, 'l1_ratio': 0.25954649560100196, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",34,0.5513634141534567
-0.7894428054541385,"{'alpha': 0.4350314124496961, 'fit_intercept': True, 'l1_ratio': 0.28651115617536993, 'loss': 'log', 'penalty': 'l2', 'random_state': 0}",35,0.5670149666257203
